  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
  569 C:HARV 6 CUST      41       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 COMBINE                    
  580 C:FERT 5 CUST       5       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 FERTILI                    
  604 C:LABOR6 CUST       9       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 LABOR                      
  606 C:DRYIN6 CUST       0       1       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    13.0   0.000   0.000   0.000   0.000   0.000  10.000 DRYING                     
  607 C:STACK6 CUST       0      44       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 STACKIN                    
  608 C:CULT 6 CUST      15       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.250  15.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 CULTIVA                    
  612 C:SUBS 6 CUST      32       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.150  15.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SUBSOIL                    
  613 C:DISC 6 CUST      20       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.700  50.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DISC                       
  614 C:BORDR6 CUST      15       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.250  13.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 BUILD B                    
  615 FERTTRUC CUST      51       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.530   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 FERTTRU                    
  620 C:BKBOR6 CUST      44       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.250  13.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 BREAK B                    
  623 C:HARV 6 CUST      25       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.800   0.000   0.000   0.000  10.000 HARVEST                    
  626 C:HARV 6 CUST       0      51       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000     2.0   0.950   0.000   0.000   0.000   0.000  10.000 HARVEST                    
  629 C:Gin 62 CUST       0      44       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000    11.0   0.950   0.000   0.000   0.000   0.000  10.000 Ginning                    
  632 C:BAG 63 CUST       0      76       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   -50.0   0.000   0.000   0.000   0.000    10.0   0.950   0.000   0.000   0.000   0.000  10.000 Bagging                    
  633 C:HAUL 6 CUST       0       3       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000    12.0   0.000   0.000   0.000   0.000   0.000  10.000 HAULING                    
  649 C:SCOUT6 CUST       7       0       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SCOUTIN                    
  654 C:HARVT6 CUST       0     249       0       0       0     0.0    0.00   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000  -100.0   0.000   0.000   0.000   0.000     2.0   0.500   0.950   0.000   0.000   0.000  10.000 TOBACCO                    
  658 PLANT20  NON    27122   29834     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.509   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  659 PLANT13  NON    27122   29834     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.329   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  660 PLANT27  NON    27122   29834     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.686   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  661 PLANT40  NON    27122   29834     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   1.015   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  662 PLANT32  NON    27122   29834     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.814   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  665 PLANTFAL NON        0       0     100    1200       0     6.1    8.85   0.000   0.000   0.100   0.000   0.600   0.885   0.600   0.000   0.000  10.160   40.64  76.200   1.015   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  667 PLANT38  NON        0       0     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.965   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  668 PLANT30  NON        0       0     100    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.600   0.000   0.100  10.160   40.64  76.200   0.762   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 Planter                    
  669 ANHYTRAC NON     5594    6154      50    1200       0     9.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.300  13.000    75.0  25.000   0.300   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 ANHYD F                    
  669 ANHYTRAC NON     5594    6154      50    1200       0     9.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.300  13.000    75.0  25.000   0.300   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 ANHYD F                    
