  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
  111 CRW175DS POWE   81881   90069     660   12000     130     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 CRAWLER                    
  112 CRW205DS POWE  100515  110567     685   12000     153     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 CRAWLER                    
  115 CRW225DS POWE  112969  124266     800   12000     168     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 CRAWLER                    
  120 CRW290DS POWE  143107  157418     999   12000     216     0.3    0.00   0.003   2.000   0.100   0.420   0.680   0.920   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     4.0   0.000   0.000   0.000   0.000   0.000  10.000 CRAWLER                    
  121 DRLLNT24 NON    44130   48543     100    2000       0     7.3    6.44   0.320   2.100   0.000   0.000   0.600   0.885   0.650   0.000   0.200  10.000    40.0  25.000   0.170   0.000   0.000     6.0   0.000   0.000   0.000   0.000   0.000  10.000 DRILL N                    
  123 PLBEET8R NON     1155    1270      26     390       0     1.4    6.44   0.320   2.100   0.000   0.000   0.680   0.920   0.650   0.000   0.200  10.000    40.0  25.000   0.170   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 BEET PL                    
  124 PLPOTATO NON    24577   27035      50    1200       0     5.5    5.63   0.320   2.100   0.100   0.000   0.600   0.885   0.750   0.000   0.200  10.000   100.0  25.000   0.170   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 POTATO                     
  126 PLTRAN4R NON     1400    1540     200    2000       0     3.7    3.22   0.320   2.100   0.100   0.000   0.600   0.885   0.700   0.000   0.300  10.000   100.0  25.000   0.910   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 TRANSPL                    
  132 DRPLDG14 NON    15808   17389      65    1200       0     4.3    4.02   0.320   2.100   0.100   0.000   0.600   0.885   0.700   0.000   0.100  10.000    40.0  25.000   0.170   0.000   0.000     6.0   0.000   0.000   0.000   0.000   0.000  10.000 DRILL                      
  136 PLRG12RW NON    25175   27692      55    1200       0     6.1    8.85   0.320   2.100   0.100   0.000   0.600   0.885   0.650   0.000   0.100  10.000    40.0  75.000   0.500   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 PLANTER                    
  139 PLNTL6RW NON    19556   21512     115    1200       0     5.2    4.99   0.320   2.100   0.100   0.000   0.600   0.885   0.700   0.000   0.020  10.000    60.0  10.000   0.860   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 PLANTER                    
