  100	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK509686.WND   61.13  -146.35     AK           VALDEZ WSO AP AK   
  101	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK509919.WND   56.47  -132.38     AK           WRANGELL AK        
  102	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AK509941.WND   59.52  -139.67     AK           YAKUTAT WSO AP AK  
  103	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020060.WND   33.95  -113.18     AZ           AGUILA AZ          
  104	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020080.WND   32.37  -112.87     AZ           AJO AZ             
  105	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020159.WND   33.85  -109.13     AZ           ALPINE AZ          
  106	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020750.WND   36.68  -110.53     AZ           BETATAKIN AZ       
  107	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020808.WND   33.48  -109.77     AZ           BLACK RIVER PUMPS A
  108	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020949.WND   33.95  -114.02     AZ           BOUSE AZ           
  109	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ020958.WND   32.33  -109.48     AZ           BOWIE AZ           
  110	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021001.WND   36.20  -112.07     AZ           BRIGHT ANGEL RS AZ 
  111	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021026.WND   33.37  -112.58     AZ           BUCKEYE AZ         
  112	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021231.WND   31.55  -110.52     AZ           CANELO RS AZ       
  113	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021282.WND   33.82  -111.90     AZ           CAREFREE AZ        
  114	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021306.WND   32.88  -111.75     AZ           CASA GRANDE AZ     
  115	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021314.WND   33.00  -111.53     AZ           CASA GRANDE RUINS A
  116	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021330.WND   32.30  -110.38     AZ           CASCABEL AZ        
  117	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021353.WND   33.98  -112.37     AZ           CASTLE HOT SPRINGS 
  118	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021514.WND   33.22  -111.68     AZ           CHANDLER HEIGHTS AZ
  119	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021574.WND   34.53  -110.92     AZ           WALLACE RANGER STN 
  120	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021614.WND   34.35  -111.70     AZ           CHILDS AZ          
  121	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021654.WND   34.77  -112.45     AZ           CHINO VALLEY AZ    
  122	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021664.WND   32.00  -109.35     AZ           CHIRICAHUA NAT MON 
